,Unnamed: 0,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer,cluster #
1,1,Pop culture ninja. Entrepreneur. Professional writer. Creator. Food guru. Thinker. Evil beer lover. Devoted organizer. Coffee fanatic.,4,7,1,2,5,8,1,2,11,3,1,2
5,5,Friendly problem solver. Troublemaker. Subtly charming social media guru. Twitter buff.,2,1,2,1,7,6,1,1,9,1,1,2
15,15,Beer geek. Unapologetic zombie ninja. Award-winning music enthusiast. Bacon fanatic.,4,2,1,1,5,5,1,1,10,3,1,2
17,17,Avid coffee geek. Hipster-friendly twitter guru. Falls down a lot. Amateur zombie fan.,3,6,3,1,2,2,1,3,10,2,1,2
33,33,Prone to fits of apathy. Falls down a lot. Bacon geek. Devoted twitter ninja. Proud music expert. Avid coffee practitioner. Pop culture specialist.,1,4,3,1,10,7,1,1,3,2,1,2
42,42,Tv scholar. General social media junkie. Extreme alcoholaholic. Future teen idol.,4,8,1,1,8,8,1,1,8,2,1,2
49,49,Internet nerd. Award-winning coffee trailblazer. Social media advocate. Travel guru. Explorer. Food fanatic.,3,7,3,1,10,2,1,3,7,3,1,2
67,67,Problem solver. Avid music buff. Beer trailblazer. Explorer. Entrepreneur.,2,6,2,1,5,4,1,3,2,1,1,2
81,81,Infuriatingly humble zombie trailblazer. Wannabe tv ninja. Certified music aficionado. Friendly alcohol maven.,2,2,2,1,1,2,1,3,11,2,1,2
94,94,Internet nerd. Award-winning coffee trailblazer. Social media advocate. Travel guru. Explorer. Food fanatic.,1,6,3,1,1,5,1,2,4,1,1,2
99,99,Bacon advocate. Troublemaker. Avid social media enthusiast. Pop culture expert. Extreme creator.,1,5,2,1,5,9,1,3,5,3,1,2
103,103,Evil social media lover. Student. Amateur thinker. Typical reader. Web enthusiast. General pop culture scholar.,1,8,3,1,4,10,1,2,2,2,1,2
109,109,Internet nerd. Award-winning coffee trailblazer. Social media advocate. Travel guru. Explorer. Food fanatic.,2,6,2,1,10,7,1,3,1,3,1,2
111,111,Infuriatingly humble zombie trailblazer. Wannabe tv ninja. Certified music aficionado. Friendly alcohol maven.,4,3,3,1,8,2,1,2,10,2,1,2
117,117,Tv scholar. General social media junkie. Extreme alcoholaholic. Future teen idol.,3,8,3,1,10,2,1,3,2,2,1,2
121,121,Pop culture ninja. Entrepreneur. Professional writer. Creator. Food guru. Thinker. Evil beer lover. Devoted organizer. Coffee fanatic.,1,6,2,1,1,3,1,1,3,3,1,2
124,124,Internet nerd. Award-winning coffee trailblazer. Social media advocate. Travel guru. Explorer. Food fanatic.,4,4,3,1,1,6,1,1,6,2,1,2
125,125,Friendly problem solver. Troublemaker. Subtly charming social media guru. Twitter buff.,3,7,2,1,2,2,2,1,3,3,1,2
127,127,Problem solver. Avid music buff. Beer trailblazer. Explorer. Entrepreneur.,1,7,3,1,10,5,1,1,3,2,1,2
128,128,Pop culture geek. Friendly troublemaker. Student. Webaholic. Beer nerd. Friend of animals everywhere. Creator.,2,1,3,1,4,2,1,2,2,1,1,2
129,129,Bacon advocate. Troublemaker. Avid social media enthusiast. Pop culture expert. Extreme creator.,3,3,3,1,7,2,1,3,9,2,1,2
138,138,Prone to fits of apathy. Falls down a lot. Bacon geek. Devoted twitter ninja. Proud music expert. Avid coffee practitioner. Pop culture specialist.,2,5,3,1,1,1,1,2,1,1,1,2
140,140,Friendly problem solver. Troublemaker. Subtly charming social media guru. Twitter buff.,2,3,1,1,9,8,1,2,9,2,1,2
160,160,Pop culture trailblazer. Coffee maven. Award-winning beer specialist. Proud organizer.,3,5,2,1,6,6,1,2,5,3,1,2
162,162,Tv scholar. General social media junkie. Extreme alcoholaholic. Future teen idol.,1,5,1,1,7,8,1,2,8,3,1,2
164,164,Troublemaker. Avid travel maven. Subtly charming alcohol practitioner. Music fanatic.,2,5,1,1,8,8,1,1,7,2,1,2
183,183,Prone to fits of apathy. Falls down a lot. Bacon geek. Devoted twitter ninja. Proud music expert. Avid coffee practitioner. Pop culture specialist.,3,3,1,1,7,8,1,2,9,2,1,2
190,190,Pop culture trailblazer. Coffee maven. Award-winning beer specialist. Proud organizer.,3,5,3,1,1,8,1,3,3,2,1,2
207,207,Tv scholar. General social media junkie. Extreme alcoholaholic. Future teen idol.,4,5,1,1,3,9,1,3,10,3,1,2
224,224,Tv buff. Falls down a lot. Professional pop culture specialist. Friendly coffee ninja. Subtly charming organizer. Passionate web scholar.,4,6,1,1,5,1,1,2,10,1,1,2
233,233,Typical travel aficionado. Extreme alcohol evangelist. Unapologetic organizer. Zombieaholic.,4,5,2,1,3,3,1,2,4,2,1,2
240,240,Falls down a lot. Pop cultureaholic. Tv expert. Internet specialist. Web nerd. Zombie trailblazer. Alcohol evangelist.,1,1,1,1,4,10,1,3,8,2,1,2
255,255,Falls down a lot. Pop cultureaholic. Tv expert. Internet specialist. Web nerd. Zombie trailblazer. Alcohol evangelist.,2,7,3,1,3,8,1,3,2,2,1,2
273,273,Travel expert. Introvert. Pop culture guru. Professional entrepreneur. Total zombie geek. Award-winning web ninja. Proud food advocate.,3,3,1,1,7,7,1,3,1,1,1,2
276,276,Professional travel expert. Problem solver. Reader. Food maven. Troublemaker. Entrepreneur. Tv lover. Explorer.,4,8,2,1,1,9,1,1,3,2,1,2
280,280,Extreme coffee enthusiast. Lifelong alcohol guru. Total internet evangelist. Gamer.,3,2,3,1,10,4,1,3,1,1,1,2
282,282,Hipster-friendly bacon fanatic. Pop culture buff. Friendly food lover. Wannabe organizer.,3,4,3,1,3,10,1,3,5,3,1,2
298,298,Zombieaholic. Communicator. Coffee lover. Wannabe explorer. Problem solver. Total twitter scholar.,2,4,1,1,5,6,1,3,4,1,1,2
303,303,Travel expert. Introvert. Pop culture guru. Professional entrepreneur. Total zombie geek. Award-winning web ninja. Proud food advocate.,4,7,1,1,2,3,1,3,6,1,1,2
309,309,Organizer. Tvaholic. Explorer. Proud communicator. Wannabe travel geek. Troublemaker. Web guru. Typical coffee ninja.,3,1,3,1,4,3,1,1,5,3,1,2
330,330,Falls down a lot. Pop cultureaholic. Tv expert. Internet specialist. Web nerd. Zombie trailblazer. Alcohol evangelist.,4,6,3,1,5,4,1,3,11,1,1,2
342,342,Hipster-friendly bacon fanatic. Pop culture buff. Friendly food lover. Wannabe organizer.,1,2,1,1,9,8,1,2,10,2,1,2
354,354,Organizer. Tvaholic. Explorer. Proud communicator. Wannabe travel geek. Troublemaker. Web guru. Typical coffee ninja.,3,2,1,1,7,8,1,3,2,1,1,2
355,355,Extreme coffee enthusiast. Lifelong alcohol guru. Total internet evangelist. Gamer.,2,7,2,1,3,3,1,3,6,2,1,2
367,367,Student. Hipster-friendly travel fanatic. Zombie guru. Internet geek. Alcohol practitioner.,4,8,3,1,9,4,1,2,11,1,1,2
377,377,Avid web specialist. Lifelong zombie fan. Tv trailblazer. Social media enthusiast. Internet practitioner. Proud twitter advocate. Travel aficionado.,2,1,3,1,3,7,1,3,9,1,1,2
385,385,Extreme coffee enthusiast. Lifelong alcohol guru. Total internet evangelist. Gamer.,1,2,3,1,1,8,1,3,6,3,1,2
