major_department,year,music_genre,living,humour,friend_qualities,personal_qualities,sports,friday_night,school_balance,entertainment_genre
Engineering (if you're computer science choose this),Sophomore,Rap,Off-Campus,Situational,"Trustworthy, Social Intelligence, Humour","Understanding, Supportive, Loyalty",Yes,Watching Netflix,5-8 hours of school and/or work a day,Comedy
Sciences,Sophomore,Pop,Off-Campus,Dad-Joke Humor,"Trustworthy, Kindness, Loyalty","Trustworthy, Kindness, Loyalty",No,At a party/With Friends,5-8 hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Sophomore,Pop,Off-Campus,Situational,"Ambition, Kindness, Understanding","Ambition, Kindness, Leadership",No,Studying,8+ hours of school and/or work a day,Rom-Com
Engineering (if you're computer science choose this),Sophomore,Indie/Alternative,Off-Campus,Dark-Humor,"Kindness, Understanding, Supportive","Kindness, Understanding, Social Intelligence",No,Watching Netflix,8+ hours of school and/or work a day,Emotional
Engineering (if you're computer science choose this),Sophomore,EDM,Off-Campus,Dark-Humor,"Trustworthy, Understanding, Humour","Ambition, Supportive, Loyalty",Yes,Working,8+ hours of school and/or work a day,Anime/Cartoon
Engineering (if you're computer science choose this),Senior,EDM,Off-Campus,Dark-Humor,"Ambition, Trustworthy, Humour","Ambition, Humour, Loyalty",No,Watching Netflix,8+ hours of school and/or work a day,Documentary
Sciences,Sophomore,EDM,Off-Campus,Self Deprecating,"Ambition, Trustworthy, Supportive","Ambition, Fairness, Supportive",Yes,Watching Netflix,5-8 hours of school and/or work a day,Emotional
Engineering (if you're computer science choose this),Senior,Pop,Off-Campus,Situational,"Kindness, Supportive, Humour","Ambition, Leadership, Social Intelligence",Yes,At a party/With Friends,8+ hours of school and/or work a day,Sci-Fi
Sciences,Sophomore,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Situational,"Kindness, Supportive, Humour","Kindness, Understanding, Supportive",No,Watching Netflix,5-8 hours of school and/or work a day,Anime/Cartoon
Business,Sophomore,"International Music(KPOP, Bollywood, etc.)",Off-Campus,Dark-Humor,"Trustworthy, Humour, Loyalty","Ambition, Fairness, Humour",Yes,At a party/With Friends,5-8 hours of school and/or work a day,Comedy
Engineering (if you're computer science choose this),Junior,EDM,Off-Campus,Situational,"Ambition, Understanding, Humour","Trustworthy, Understanding, Humour",No,Studying,5-8 hours of school and/or work a day,Comedy
Business,Freshman,Rap,Off-Campus,Dark-Humor,"Trustworthy, Kindness, Supportive","Kindness, Supportive, Loyalty",Yes,Studying,5-8 hours of school and/or work a day,Horror
Engineering (if you're computer science choose this),Alumni,Rock,Off-Campus,Situational,"Kindness, Social Intelligence, Humour","Social Intelligence, Humour, Loyalty",No,Watching Netflix,5-8 hours of school and/or work a day,Sci-Fi
